t1,t2
1625045894.389056730,1625045894.393861541
1625045896.388892390,1625045896.393720418
1625045898.388613730,1625045898.393464983
1625045900.389439770,1625045900.394314226
1625045902.390255690,1625045902.395153389
1625045904.390063250,1625045904.394984219
1625045906.389715930,1625045906.394660151
1625045908.390097130,1625045908.395064644
1625045910.389941150,1625045910.394931935
1625045912.390458570,1625045912.395472655
1625045914.390943770,1625045914.395981133
1625045916.390548550,1625045916.395609115
1625045918.390957270,1625045918.396041046
1625045920.391426810,1625045920.396533773
1625045922.391965470,1625045922.397095679
1625045924.391683830,1625045924.396837275
1625045926.392252650,1625045926.397429305
1625045928.391833750,1625045928.397033655
1625045930.392345710,1625045930.397568866
1625045932.391896610,1625045932.397142988
1625045934.392423550,1625045934.397693145
1625045936.392883370,1625045936.398176199
1625045938.392577230,1625045938.397893281
1625045940.392765430,1625045940.398104736
1625045942.392606190,1625045942.397968784
1625045944.393421870,1625045944.398807728
1625045946.394273430,1625045946.399682561
1625045948.394125430,1625045948.399557794
1625045950.393891830,1625045950.399347414
1625045952.393728690,1625045952.399207465
1625045954.393573530,1625045954.399075526
1625045956.394270870,1625045956.399796078
1625045958.394110650,1625045958.399659095
1625045960.393914090,1625045960.399485771
1625045962.393633750,1625045962.399228713
1625045964.394282730,1625045964.399900933
1625045966.394033790,1625045966.399675219
1625045968.393657970,1625045968.399322630
1625045970.393518330,1625045970.399206209
1625045972.393890670,1625045972.399601810
1625045974.393600010,1625045974.399334399
1625045976.394395090,1625045976.400152754
1625045978.395050970,1625045978.400831886
1625045980.394823170,1625045980.400627316
1625045982.394542090,1625045982.400369466
1625045984.395304530,1625045984.401155116
1625045986.395054130,1625045986.400927903
1625045988.395014830,1625045988.400911789
1625045990.394785350,1625045990.400705489
1625045992.394687470,1625045992.400630850
1625045994.395112030,1625045994.401078715
1625045996.394860390,1625045996.395033758
1625045998.394638350,1625045998.394835007
1625046000.395295750,1625046000.395494519
1625046002.395055510,1625046002.395229516
1625046004.395270190,1625046004.395419407
1625046006.395084890,1625046006.395209268
