t1,t2
1620370470:908721449,1620370470:908579642
1620370471:908864049,1620370471:908710020
1620370472:908832129,1620370472:908668940
1620370473:908891849,1620370473:908726513
1620370474:908827329,1620370474:908666831
1620370475:908839709,1620370475:908690161
1620370476:908811729,1620370476:908673956
1620370477:908898089,1620370477:908772103
1620370478:908791749,1620370478:908677552
1620370479:908881069,1620370479:908778670
1620370480:908862609,1620370480:908772008
1620370481:908941009,1620370481:908862212
1620370482:908946149,1620370482:908879163
1620370483:908917729,1620370483:908862528
1620370484:908943009,1620370484:908899603
1620370485:909000709,1620370485:908969093
1620370486:909181689,1620370486:909161863
1620370487:908997529,1620370487:908989486
1620370488:909006069,1620370488:909009841
1620370489:909040549,1620370489:909056117
1620370490:908995349,1620370490:909022706
1620370491:909052469,1620370491:909088543
1620370492:909036649,1620370492:909074415
1620370493:909415369,1620370493:909447850
1620370494:908987809,1620370494:909009361
1620370495:908938629,1620370495:908948055
1620370496:908972749,1620370496:908969968
1620370497:909103149,1620370497:909088185
1620370498:909030489,1620370498:909003322
1620370499:909041709,1620370499:909002362
1620370500:909249329,1620370500:909197783
1620370501:909107949,1620370501:909044227
1620370502:909110889,1620370502:909034968
1620370503:909131669,1620370503:909043567
1620370504:909138489,1620370504:909038185
1620370505:909170229,1620370505:909057757
1620370506:909092909,1620370506:908968253
1620370507:908903529,1620370507:908766706
1620370508:909106809,1620370508:908957803
1620370509:909127429,1620370509:908966235
1620370510:909159449,1620370510:908989131
1620370511:909577069,1620370511:909404633
1620370512:910142329,1620370512:909974761
1620370513:910219249,1620370513:910062652
1620370514:910146769,1620370514:910001958
1620370515:910238089,1620370515:910105076
1620370516:910273789,1620370516:910152570
1620370517:910172809,1620370517:910063372
1620370518:910187349,1620370518:910089703
1620370519:910208929,1620370519:910123068
1620370520:910210449,1620370520:910136381
1620370521:910350509,1620370521:910288242
1620370522:910194849,1620370522:910144371
1620370523:910287269,1620370523:910248598
1620370524:910375109,1620370524:910348250
1620370525:909722169,1620370525:909707108
1620370526:910315529,1620370526:910312302
1620370527:910401349,1620370527:910409941
1620370528:910341569,1620370528:910361956
1620370529:910370729,1620370529:910399855
1620370530:909651049,1620370530:909681921
1620370531:910325669,1620370531:910351275
1620370532:909671549,1620370532:909688986
1620370533:910434289,1620370533:910446816
1620370534:910360749,1620370534:910371631
1620370535:910454289,1620370535:910462273
1620370536:910370889,1620370536:910377438
1620370537:910356329,1620370537:910361742
1620370538:910388569,1620370538:910393090
1620370539:910446649,1620370539:910450533
1620370540:910434329,1620370540:910437723
1620370541:910380389,1620370541:910383430
1620370542:910579989,1620370542:910582758
1620370543:911454489,1620370543:911457077
1620370544:911485449,1620370544:911487890
1620370545:911444649,1620370545:911447010
1620370546:911619089,1620370546:911621348
1620370547:912562249,1620370547:912564460
1620370548:913566589,1620370548:913568738
1620370549:914564389,1620370549:914566521
1620370550:915500289,1620370550:915502370
1620370551:914624789,1620370551:914626871
1620370552:914768169,1620370552:914770215
1620370553:915565869,1620370553:915567897
1620370554:915826869,1620370554:915828898
1620370555:915670209,1620370555:915672242
1620370556:915683089,1620370556:915685100
1620370557:915690649,1620370557:915692657
1620370558:915974769,1620370558:915976770
1620370559:915638529,1620370559:915640523
1620370560:915573089,1620370560:915575093
1620370561:915822429,1620370561:915824418
1620370562:915607289,1620370562:915609273
1620370563:915659589,1620370563:915661561
1620370564:916576929,1620370564:916578910
1620370565:916635709,1620370565:916637697
1620370566:916654269,1620370566:916656240
1620370567:916631129,1620370567:916633103
1620370568:916747409,1620370568:916749372
1620370569:916781209,1620370569:916783173
1620370570:916644469,1620370570:916646443
1620370571:916648289,1620370571:916650272
1620370572:916713589,1620370572:916715583
1620370573:916874569,1620370573:916876577
1620370574:916718589,1620370574:916720595
1620370575:916775209,1620370575:916777226
1620370576:917093449,1620370576:917095472
1620370577:916728709,1620370577:916730720
1620370578:916748169,1620370578:916750193
1620370579:916773609,1620370579:916775626
