t1,t2
1625002682.129013641,1625002682.129013847
1625002683.129300741,1625002683.129300962
1625002684.129059281,1625002684.129059508
1625002685.129183641,1625002685.129183849
1625002686.129054661,1625002686.129054877
1625002687.129061821,1625002687.129062037
1625002688.129167161,1625002688.129167382
1625002689.129220741,1625002689.129220959
1625002690.129160641,1625002690.129160866
1625002691.129220201,1625002691.129220414
1625002692.129253341,1625002692.129253569
1625002693.129285901,1625002693.129286106
1625002694.129295341,1625002694.129295564
1625002695.129290901,1625002695.129291117
1625002696.129582001,1625002696.129582219
1625002697.130404021,1625002697.130404238
1625002698.130436561,1625002698.130436783
1625002699.129629301,1625002699.129629528
1625002700.130418781,1625002700.130418982
1625002701.130469461,1625002701.130469684
1625002702.130523001,1625002702.130523224
1625002703.130496801,1625002703.130497031
1625002704.130600801,1625002704.130601011
1625002705.131528201,1625002705.131528436
1625002706.131564881,1625002706.131565091
1625002707.131627561,1625002707.131627797
1625002708.132673521,1625002708.132673753
1625002709.132735761,1625002709.132735987
1625002710.133623281,1625002710.133623521
1625002711.134634261,1625002711.134634477
1625002712.135609381,1625002712.135609611
1625002713.136161041,1625002713.136161259
1625002714.135721761,1625002714.135721994
1625002715.135724801,1625002715.135725024
1625002716.135733141,1625002716.135733366
1625002717.136159561,1625002717.136159801
1625002718.135686641,1625002718.135686857
1625002719.135975341,1625002719.135975573
1625002720.136004341,1625002720.136004571
1625002721.136204861,1625002721.136205081
1625002722.135773561,1625002722.135773794
1625002723.135763501,1625002723.135763721
1625002724.135835441,1625002724.135835663
1625002725.136497761,1625002725.136497991
1625002726.136380401,1625002726.136380622
1625002727.135883101,1625002727.135883329
1625002728.135877421,1625002728.135877634
1625002729.135943721,1625002729.135943943
1625002730.136000261,1625002730.136000478
1625002731.135870741,1625002731.135870966
1625002732.136231121,1625002732.136231341
1625002733.135970861,1625002733.135971091
1625002734.135962881,1625002734.135963102
1625002735.136020061,1625002735.136020277
1625002736.136082641,1625002736.136082854
1625002737.136007921,1625002737.136008157
1625002738.136028401,1625002738.136028627
1625002739.135996121,1625002739.135996329
1625002740.136123561,1625002740.136123797
1625002741.136075201,1625002741.136075423
1625002742.136366401,1625002742.136366631
1625002743.136097941,1625002743.136098167
1625002744.136178161,1625002744.136178388
1625002745.136115081,1625002745.136115301
1625002746.136146381,1625002746.136146597
1625002747.136187141,1625002747.136187354
1625002748.136210261,1625002748.136210482
1625002749.136166441,1625002749.136166653
1625002750.136176701,1625002750.136176918
1625002751.136242461,1625002751.136242681
1625002752.136230741,1625002752.136230963
1625002753.136224081,1625002753.136224312
1625002754.136291521,1625002754.136291742
1625002755.136263921,1625002755.136264146
1625002756.136336281,1625002756.136336501
1625002757.136380141,1625002757.136380353
1625002758.135676841,1625002758.135677061
1625002759.136205121,1625002759.136205338
1625002760.136268821,1625002760.136269047
1625002761.136299521,1625002761.136299742
1625002762.136273861,1625002762.136274087
1625002763.136254741,1625002763.136254967
1625002764.136337261,1625002764.136337483
1625002765.136341521,1625002765.136341717
1625002766.136421661,1625002766.136421886
1625002767.136431861,1625002767.136432068
1625002768.136419701,1625002768.136419917
1625002769.136376361,1625002769.136376554
1625002770.136403941,1625002770.136404158
1625002771.136450741,1625002771.136450924
1625002772.136524001,1625002772.136524221
1625002773.136529921,1625002773.136530114
1625002774.136528081,1625002774.136528283
1625002775.136607361,1625002775.136607557
1625002776.137630061,1625002776.137630278
1625002777.138626281,1625002777.138626461
1625002778.138721841,1625002778.138722046
1625002779.138789781,1625002779.138789967
1625002780.138686081,1625002780.138686292
1625002781.139626221,1625002781.139626419
1625002782.139737181,1625002782.139737381
1625002783.139918301,1625002783.139918486
1625002784.139732261,1625002784.139732462
1625002785.139656781,1625002785.139656969
1625002786.139911921,1625002786.139912133
1625002787.139712241,1625002787.139712432
1625002788.139741981,1625002788.139742183
1625002789.140056901,1625002789.140057094
1625002790.139711201,1625002790.139711397
1625002791.139690321,1625002791.139690512
1625002792.139739021,1625002792.139739213
1625002793.140085641,1625002793.140085837
1625002794.139862921,1625002794.139863107
1625002795.139796881,1625002795.139797081
1625002796.139918121,1625002796.139918301
1625002797.139840241,1625002797.139840443
1625002798.139831621,1625002798.139831811
1625002799.139927001,1625002799.139927197
1625002800.139838501,1625002800.139838691
1625002801.140180961,1625002801.140181151
1625002802.139905921,1625002802.139906106
1625002803.140447261,1625002803.140447449
1625002804.139939381,1625002804.139939577
1625002805.139972961,1625002805.139973139
1625002806.140168301,1625002806.140168511
1625002807.139974301,1625002807.139974483
1625002808.140060021,1625002808.140060219
1625002809.140034381,1625002809.140034576
1625002810.140061161,1625002810.140061362
1625002811.140096721,1625002811.140096914
1625002812.139994401,1625002812.139994593
1625002813.140192881,1625002813.140193063
1625002814.140077761,1625002814.140077964
1625002815.140208121,1625002815.140208317
1625002816.140135381,1625002816.140135582
1625002817.140286161,1625002817.140286361
1625002818.140180321,1625002818.140180517
1625002819.140209141,1625002819.140209341
1625002820.140212701,1625002820.140212896
1625002821.140252901,1625002821.140253108
1625002822.140213361,1625002822.140213566
1625002823.140316101,1625002823.140316284
1625002824.140297001,1625002824.140297199
1625002825.140366481,1625002825.140366684
1625002826.139798001,1625002826.139798184
1625002827.140327841,1625002827.140328052
1625002828.140659421,1625002828.140659607
1625002829.141363381,1625002829.141363589
1625002830.141350081,1625002830.141350269
1625002831.141409721,1625002831.141409918
1625002832.141354901,1625002832.141355111
1625002833.141380721,1625002833.141380921
1625002834.141495561,1625002834.141495761
1625002835.141438461,1625002835.141438649
1625002836.140722881,1625002836.140723094
1625002837.140859201,1625002837.140859383
1625002838.141498781,1625002838.141498998
1625002839.141575621,1625002839.141575816
1625002840.140967561,1625002840.140967767
1625002841.141451801,1625002841.141451988
1625002842.141501521,1625002842.141501716
1625002843.141515201,1625002843.141515402
1625002844.141646081,1625002844.141646292
1625002845.142667221,1625002845.142667403
1625002846.142976521,1625002846.142976736
1625002847.143650701,1625002847.143650897
1625002848.144576621,1625002848.144576841
1625002849.144074001,1625002849.144074191
1625002850.144058321,1625002850.144058523
1625002851.144655601,1625002851.144655812
1625002852.145630321,1625002852.145630504
1625002853.146111461,1625002853.146111671
1625002854.145819621,1625002854.145819821
1625002855.145847041,1625002855.145847244
1625002856.145871241,1625002856.145871449
1625002857.146113581,1625002857.146113793
1625002858.145848341,1625002858.145848539
1625002859.145842961,1625002859.145843181
1625002860.145879461,1625002860.145879662
1625002861.145850161,1625002861.145850387
1625002862.145898481,1625002862.145898674
1625002863.145828101,1625002863.145828323
1625002864.145882821,1625002864.145883022
1625002865.145927701,1625002865.145927916
1625002866.145896581,1625002866.145896791
1625002867.145719541,1625002867.145719753
1625002868.145919481,1625002868.145919679
1625002869.146037721,1625002869.146037942
1625002870.145980661,1625002870.145980864
1625002871.146022121,1625002871.146022341
1625002872.146089961,1625002872.146090157
1625002873.146151761,1625002873.146151982
1625002874.146065901,1625002874.146066114
1625002875.146160901,1625002875.146161123
1625002876.146069341,1625002876.146069543
1625002877.146252881,1625002877.146253107
1625002878.146075961,1625002878.146076181
1625002879.146132381,1625002879.146132596
1625002880.146091621,1625002880.146091824
