t1,t2
1625004222.253215441,1625004222.253215593
1625004223.253485301,1625004223.253485458
1625004224.253619401,1625004224.253619548
1625004225.254262061,1625004225.254262202
1625004226.254293381,1625004226.254293534
1625004227.254330701,1625004227.254330853
1625004228.254363201,1625004228.254363344
1625004229.254390021,1625004229.254390167
1625004230.254375181,1625004230.254375334
1625004231.254444361,1625004231.254444503
1625004232.254609681,1625004232.254609831
1625004233.255551581,1625004233.255551729
1625004234.255391641,1625004234.255391794
1625004235.255446001,1625004235.255446134
1625004236.255501441,1625004236.255501608
1625004237.255460941,1625004237.255461073
1625004238.255487361,1625004238.255487514
1625004239.255610501,1625004239.255610651
1625004240.256475461,1625004240.256475607
1625004241.256609861,1625004241.256610002
1625004242.257520541,1625004242.257520682
1625004243.257566601,1625004243.257566753
1625004244.257612181,1625004244.257612337
1625004245.258640641,1625004245.258640784
1625004246.258659861,1625004246.258660008
1625004247.259101161,1625004247.259101297
1625004248.258924061,1625004248.258924208
1625004249.258851261,1625004249.258851406
1625004250.259007761,1625004250.259007903
1625004251.258774841,1625004251.258774988
1625004252.258703921,1625004252.258704077
1625004253.258734121,1625004253.258734246
1625004254.259055501,1625004254.259055661
1625004255.258886241,1625004255.258886381
1625004256.258766441,1625004256.258766587
1625004257.258745781,1625004257.258745924
1625004258.258773921,1625004258.258774067
1625004259.258904781,1625004259.258904932
1625004260.258923381,1625004260.258923527
1625004261.259549121,1625004261.259549261
1625004262.258862541,1625004262.258862684
1625004263.258926021,1625004263.258926169
1625004264.258977521,1625004264.258977659
1625004265.258911341,1625004265.258911503
1625004266.259121581,1625004266.259121709
1625004267.258979521,1625004267.258979684
1625004268.258922581,1625004268.258922714
1625004269.259062621,1625004269.259062779
1625004270.259311461,1625004270.259311616
1625004271.259021161,1625004271.259021317
1625004272.259158601,1625004272.259158752
1625004273.259120261,1625004273.259120433
1625004274.259088581,1625004274.259088736
1625004275.259359701,1625004275.259359861
1625004276.259166361,1625004276.259166529
1625004277.259446901,1625004277.259447051
1625004278.259111681,1625004278.259111847
1625004279.259287701,1625004279.259287854
1625004280.259161261,1625004280.259161416
1625004281.259320321,1625004281.259320473
1625004282.259192641,1625004282.259192807
1625004283.259427361,1625004283.259427506
1625004284.259232841,1625004284.259233011
1625004285.259306921,1625004285.259307074
1625004286.259541501,1625004286.259541659
1625004287.259239901,1625004287.259240068
1625004288.259225801,1625004288.259225967
1625004289.259275361,1625004289.259275518
1625004290.259312361,1625004290.259312517
1625004291.259349081,1625004291.259349253
1625004292.259384241,1625004292.259384392
1625004293.259369501,1625004293.259369677
1625004294.259640061,1625004294.259640218
1625004295.259702501,1625004295.259702673
1625004296.260416321,1625004296.260416472
1625004297.260419341,1625004297.260419511
1625004298.260501981,1625004298.260502132
1625004299.260467501,1625004299.260467678
1625004300.260545381,1625004300.260545529
1625004301.260578521,1625004301.260578697
1625004302.259793361,1625004302.259793508
1625004303.260528581,1625004303.260528754
1625004304.260522741,1625004304.260522891
1625004305.260514901,1625004305.260515072
1625004306.260579581,1625004306.260579738
1625004307.260630421,1625004307.260630583
1625004308.261606601,1625004308.261606773
1625004309.262644181,1625004309.262644329
1625004310.263463481,1625004310.263463649
1625004311.263664141,1625004311.263664301
1625004312.264651161,1625004312.264651332
1625004313.265095121,1625004313.265095282
1625004314.264693181,1625004314.264693357
1625004315.265049861,1625004315.265050019
1625004316.264751281,1625004316.264751452
1625004317.264753381,1625004317.264753548
1625004318.265029401,1625004318.265029571
1625004319.265062241,1625004319.265062399
1625004320.264799781,1625004320.264799961
